"county_name","enlist_pct","Suffrage_Diff","mean_combat_days"
"ADAIR",0.311728395061728,0.487668649354417,37.0918367346939
"ADAMS",0.33531746031746,0.550064477730384,43.0718562874251
"ALLAMAKEE",0.246666666666667,0.342657041588981,30.2785016286645
"APPANOOSE",0.32003279584586,0.442200995307398,32.0203327171904
"AUDUBON",0.333333333333333,0.365400053518865,26.4313725490196
"BENTON",0.342575702298431,0.512002884233127,31.4184659090909
"BLACK HAWK",0.480857580398162,0.607242242946926,35.0482492417976
"BOONE",0.176694592536177,0.451989600609403,38.0204081632653
"BREMER",0.238065326633166,0.458196825454446,26.7134670487106
"BUCHANAN",0.293929712460064,0.391917232160263,42.0577777777778
"BUENA VISTA",0.285714285714286,NA,35.5
"BUTLER",0.395388556789069,0.40813802672458,25.5542929292929
"CALHOUN",1.02040816326531,0.555555555555556,28.55
"CARROLL",0.333333333333333,0.267693744164332,33.32
"CASS",0.239655172413793,0.510479041916168,36.0539568345324
"CEDAR",0.252377638598933,0.380816166360294,30.126310772164
"CERRO GORDO",0.450310559006211,0.3774787867423,34.2296296296296
"CHEROKEE",0.666666666666667,NA,25
"CHICKASAW",0.226126814362108,0.443010804460451,33.8741496598639
"CLARKE",0.359763313609467,0.558303535955503,37.5082508250825
"CLAY",0.652173913043478,NA,26.7857142857143
"CLAYTON",0.227821986442676,0.425234369855317,35.3367572343715
"CLINTON",0.281800704902275,0.380521119629683,51.8315326130452
"CRAWFORD",0.306306306306306,0.400010763104079,31.6875
"DALLAS",0.307785888077859,0.460523587754012,19.6
"DAVIS",0.265724381625442,0.420070411708637,54.6535979348177
"DECATUR",0.282278949315575,0.38063037024272,35.4138929088278
"DELAWARE",0.230101302460203,0.456673446141976,32.5448469167745
"DES MOINES",0.328864480697787,0.401365335783282,44.9
"DICKINSON",0.602564102564103,NA,48.75
"DUBUQUE",0.2238558707807,0.312765486140039,30.5402580434428
"EMMET",0.340909090909091,NA,56.75
"FAYETTE",0.255801547079221,0.355379384395132,22.6425070028011
"FLOYD",0.218270008084074,0.353003614182967,26.7856182795699
"FRANKLIN",0.455188679245283,0.667459939711249,38.7961956521739
"FREMONT",0.250568181818182,0.31934728624486,40.1978417266187
"GREENE",0.700712589073634,0.473507162401416,24.0721649484536
"GRUNDY",0.167272727272727,0.528489692126056,38.4
"GUTHRIE",0.284584980237154,0.337872419869679,33.9947552447552
"HAMILTON",0.333333333333333,0.507442364227139,46.5114285714286
"HANCOCK",1.57575757575758,NA,47.2163461538462
"HARDIN",0.289982425307557,0.567372884169705,35.3905263157895
"HARRISON",0.268681780016793,0.409288795234329,30.0539682539683
"HENRY",0.347081978435735,0.467480077005158,47.9204566210046
"HOWARD",0.23598820058997,0.427769985974755,28.6953781512605
"HUMBOLT",0.271186440677966,0.210826210826211,53.5
"IDA",2.41176470588235,NA,24.2682926829268
"IOWA",0.307129094412331,0.381102137759112,34.218112244898
"JACKSON",0.259150552486188,0.366185424733028,48.3234693877551
"JASPER",0.411408540471638,0.527098065662394,24.4546311254712
"JEFFERSON",0.275585566575227,0.37352542812051,43.6857025472473
"JOHNSON",0.37384176764077,0.3788801787277,31.7329824561404
"JONES",0.248261474269819,0.37884845873398,41.6702544031311
"KEOKUK",0.268478779208393,0.410124490582105,28.4536685641999
"KOSSUTH",0.378571428571429,0.470758657862822,50.5471698113208
"LEE",0.278692051199312,0.304749442336417,43.0413676656817
"LINN",0.356340819022457,0.410737573608433,29.5452596474512
"LOUISA",0.341405788541051,0.466591280811707,36.9778079710145
"LUCAS",0.360876897133221,NA,28.6203125
"LYON",NA,NA,29.5714285714286
"MADISON",0.374716810149524,0.498820118211219,35.598535286285
"MAHASKA",0.311306586569406,0.47582351009849,26.6688361408882
"MARION",0.338422391857506,0.434361056857027,27.9246175523349
"MARSHALL",0.451063829787234,0.557242264033587,38.3592171717172
"MILLS",0.262199089134678,0.458589153734329,36.1586021505376
"MITCHELL",0.249372384937238,0.195905132481008,37.7837837837838
"MONONA",0.221830985915493,0.422604796108387,34.3666666666667
"MONROE",0.305011746280345,0.493821231853441,28.5239637305699
"MONTGOMERY",0.226415094339623,0.524054982817869,29.2421052631579
"MUSCATINE",0.399335670787968,0.432738255535126,31.5200579990333
"O'BRIEN",2.25,NA,48.5
"OSCEOLA",NA,NA,34.5
"PAGE",0.286980231765508,0.444103725369942,36.140350877193
"PALO ALTO",0.477272727272727,NA,41.1428571428571
"PLYMOUTH",0.540983606557377,NA,33.109375
"POCAHONTAS",0.46875,NA,30.5
"POLK",0.472054794520548,0.543330284919171,33.1852898095836
"POTTAWATTAMIE",0.308111380145278,0.383633435152383,31.8602892833662
"POWESHIEK",0.409090909090909,0.532616317258365,33.7566995768688
"RINGGOLD",0.3789592760181,0.551142648555374,34.6223564954683
"SAC",0.35632183908046,0.587313816127376,42.2903225806452
"SCOTT",0.314295807819124,0.472674768842813,36.9299389002037
"SHELBY",0.197628458498024,0.379805897723031,27.98
"SIOUX",8,NA,26.1944444444444
"STORY",0.324829931972789,0.604908919342448,32.7643051771117
"TAMA",0.296902396259497,0.421156237049316,29.3329787234043
"TAYLOR",0.273601398601399,0.586001773863046,21.5415335463259
"UNION",0.319354838709677,0.46547619047619,26.8680203045685
"VAN BUREN",0.303307529908515,0.427631172971769,45.84209697733
"WAPELLO",0.418335558522474,0.42834446278076,29.983661971831
"WARREN",0.368271057631412,0.538399560591747,29.7228971962617
"WASHINGTON",0.346484461097642,0.36100748729025,41.7841604350782
"WAYNE",0.288990825688073,NA,36.2251773049645
"WEBSTER",0.431618569636135,0.381792566751644,42.3857566765579
"WINNEBAGO",0.416666666666667,NA,43.68
"WINNESHIEK",0.205228158679202,0.203927837567831,25.1676029962547
"WOODBURY",0.483253588516746,NA,23.3475177304965
"WORTH",0.394495412844037,NA,28.6626506024096
"WRIGHT",0.422885572139304,0.539048982757592,49.719512195122
