"State","Square","Star","Office Location","Prize","Delivery","Postal Forwarding","Presence of â€ ","All Upper Case"
"FLORIDA",,"Y","Archer","125-9","Lake City",,"N","N"
"FLORIDA",,"Y","Baldwin","50-4","Lake City",,"N","N"
"FLORIDA",,"Y","Bartow's","100-7","Lake City",,"N","N"
"FLORIDA",,"Y","Bluff Springs","100-10","Pollard, Ala",,"N","N"
"FLORIDA",,"Y","Branch River","150-10","Lake City",,"N","N"
"FLORIDA",,"Y","Bronson","150-15","Lake City",,"N","N"
"FLORIDA",,"Y","Callahan","75-9","Lake City",,"N","N"
"FLORIDA",,"Y","Caloosahatchie","150-10","Lake City",,"N","N"
"FLORIDA",,"Y","Cedar Keys","150-14","Lake City",,"N","N"
"FLORIDA",219,"N","Ellaville",,,,"N","N"
"FLORIDA",219,"N","Fernandina","100-10","Lake City",,"N","N"
"FLORIDA",,"Y","Gainesville","50-4","Lake City",,"N","N"
"FLORIDA",,"Y","Jacksonville","50-4","Lake City",,"N","N"
"FLORIDA",,"Y","Key West","400-30","Lake City",,"N","N"
"FLORIDA",198,"N","LAKE CITY",,,,"N","Y"
"FLORIDA",219,"N","Live Oak",,,,"N","N"
"FLORIDA",219,"N","Madison",,,,"N","N"
"FLORIDA",,"Y","Milton","100-10","Pollard, Ala",,"N","N"
"FLORIDA",,"Y","Molino","100-10","Pollard, Ala",,"N","N"
"FLORIDA",,"Y","Monticello Junc.",,"Pollard, Ala",,"N","N"
"FLORIDA",,"Y","Navy Yard, Pensacola","100-10","Pollard, Ala",,"N","N"
"FLORIDA",,"Y","Newnansville","50-4","Lake City",,"N","N"
"FLORIDA",,"Y","Ocala","100-7","Lake City",,"N","N"
"FLORIDA",,"Y","Pensacola","100-10","Pollard, Ala",,"N","N"
"FLORIDA",,"Y","Pilatka","100-7","Lake City",,"N","N"
"FLORIDA",,"Y","Pine Island","150-10","Lake City",,"N","N"
"FLORIDA",,"Y","Punta Rassa","150-10","Lake City",,"N","N"
"FLORIDA",239,"N","Quincy",,,,"N","N"
"FLORIDA",,"Y","St. Augustine","50-4","Lake City",,"N","N"
"FLORIDA",239,"N","St. Mark's",,,,"N","N"
"FLORIDA",,"Y","Sanderson","50-4","Lake City",,"N","N"
"FLORIDA",,"Y","Starke","100-10","Lake City",,"N","N"
"FLORIDA",,"Y","Sumterville","100-7","Lake City",,"N","N"
"FLORIDA",239,"N","TALLAHASSEE",,,,"N","Y"
"FLORIDA",,"Y","Tuckertown","100-7","Lake City",,"N","N"
"FLORIDA",,"Y","Waldo","100-9","Lake City",,"N","N"
"FLORIDA",,"N","Half rate messages are accepted for all W. U. offices in Florida.",,,,"N","N"
